,V,I,SOC
578,3.690166,0.0,0.49226642109251245
579,3.690166,0.0,0.49226642109251245
580,3.690166,0.0,0.49226642109251245
581,3.690321,0.0,0.49226642109251245
582,3.690321,0.0,0.49226642109251245
583,3.690321,0.0,0.49226642109251245
584,3.690476,0.0,0.49226642109251245
585,3.690476,0.0,0.49226642109251245
586,3.690476,0.0,0.49226642109251245
587,3.690631,0.0,0.49226642109251245
588,3.690631,0.0,0.49226642109251245
589,3.690631,0.0,0.49226642109251245
590,3.690631,0.0,0.49226642109251245
591,3.690786,0.0,0.49226642109251245
592,3.690786,0.0,0.49226642109251245
593,3.690786,0.0,0.49226642109251245
594,3.690941,0.0,0.49226642109251245
595,3.690941,0.0,0.49226642109251245
596,3.690941,0.0,0.49226642109251245
597,3.690941,0.0,0.49226642109251245
598,3.691096,0.0,0.49226642109251245
599,3.691096,0.0,0.49226642109251245
600,3.691096,0.0,0.49226642109251245
601,3.691096,0.0,0.49226642109251245
602,3.691251,0.0,0.49226642109251245
603,3.691251,0.0,0.49226642109251245
604,3.691251,0.0,0.49226642109251245
605,3.685671,-0.21484,0.49226642109251245
606,3.685051,-0.21577,0.49226642109251245
607,3.694196,0.13951,0.49225431484091964
608,3.694816,0.13951,0.49225431484091964
609,3.649244,-1.6369,0.4922621430836844
610,3.644128,-1.63876,0.4922621430836844
611,3.663504,-0.86403,0.4921711022839964
612,3.662884,-0.86403,0.4921711022839964
613,3.658079,-1.04446,0.49212261947562413
614,3.656529,-1.04446,0.49212261947562413
615,3.649863,-1.30208,0.4920640127578639
616,3.647848,-1.30208,0.4920640127578639
617,3.641803,-1.52902,0.491991675545225
618,3.639633,-1.52902,0.491991675545225
619,3.635138,-1.69829,0.4919058792068392
620,3.632967,-1.69829,0.4919058792068392
621,3.625217,-1.98661,0.49181153049949994
622,3.622582,-1.98754,0.49181153049949994
623,3.616381,-2.22563,0.4917000048337797
624,3.613591,-2.22563,0.4917000048337797
625,3.609096,-2.38839,0.4915751212955718
626,3.606616,-2.38839,0.4915751212955718
627,3.59809,-2.70926,0.49143978541533795
628,3.59499,-2.71112,0.49143978541533795
629,3.649863,-0.5599,0.49128765910637984
630,3.653429,-0.5599,0.49128765910637984
631,3.655134,-0.5599,0.49125655379383637
632,3.656219,-0.55897,0.4912254484812929
633,3.656994,-0.55897,0.4911943945924041
634,3.657614,-0.5599,0.4911636519702296
635,3.658079,-0.56083,0.4911325442275648
636,3.658389,-0.5599,0.49110138700534245
637,3.658699,-0.5599,0.49107028169279915
638,3.659009,-0.56083,0.49103917638025585
639,3.659164,-0.5599,0.4910080194014491
640,3.659319,-0.5599,0.4909772258734978
641,3.659319,-0.5599,0.4909461205609545
642,3.659474,-0.5599,0.4909150150053988
643,3.659474,-0.56083,0.49088390969285556
644,3.659629,-0.5599,0.4908518158066403
645,3.659629,-0.56083,0.4908207104940968
646,3.659629,-0.56083,0.4907895535152904
647,3.659629,-0.56083,0.4907587088389536
648,3.659629,-0.55897,0.4907275518601472
649,3.659629,-0.5599,0.4906964979712584
